Price_euros,Company,Ram,Memory,Cpu,Gpu,Inches,Weight
1363.00,Toshiba,8GB,256GB SSD,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,13.3,1.2kg
794.00,HP,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15.6,2.1kg
2456.34,Dell,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,17.3,4.42kg
832.00,Acer,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,15.6,2.2kg
859.01,Dell,16GB,1TB HDD,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,15.6,2.3kg
769.00,Asus,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,15.6,2kg
891.00,Asus,8GB,256GB SSD +  500GB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 950M,17.3,2.69kg
1269.00,HP,8GB,1TB HDD,Intel Core i7 7500U 2.7GHz,AMD FirePro W4190M,15.6,1.9kg
398.99,Asus,4GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,15.6,2.37kg
330.00,HP,4GB,500GB HDD,AMD E-Series 9000e 1.5GHz,AMD Radeon R2,15.6,2.1kg
1499.00,Lenovo,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,3.2kg
859.00,Dell,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,1.6kg
689.00,Acer,8GB,256GB SSD,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,13.3,1.6kg
899.00,Dell,16GB,256GB SSD,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,15.6,2.36kg
390.00,Acer,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.1kg
575.00,Asus,4GB,128GB SSD +  1TB HDD,AMD A10-Series A10-9620P 2.5GHz,AMD Radeon R5 M430,15.6,2.2kg
3890.00,Asus,32GB,512GB SSD +  1TB HDD,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,17.3,4.7kg
846.00,Acer,8GB,256GB SSD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.5kg
589.00,Lenovo,8GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.2kg
1145.00,Asus,8GB,128GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 150MX,17.3,2.1kg
889.00,Asus,8GB,128GB SSD +  1TB HDD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GTX 950M,17.3,2.69kg
879.00,Dell,8GB,256GB SSD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.56kg
1079.00,Lenovo,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13.9,1.38kg
985.00,Dell,8GB,128GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,15.6,2.2kg
559.00,HP,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.04kg
2999.00,Asus,16GB,256GB SSD,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1080,17.3,3.6kg
675.00,HP,4GB,500GB HDD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.49kg
2040.00,Apple,8GB,512GB SSD,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,13.3,1.37kg
819.00,Dell,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15.6,2.08kg
1799.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 980M,17.3,4.3kg
469.00,Asus,4GB,1TB HDD,AMD A9-Series 9420 3GHz,AMD Radeon R5 M420,15.6,1.68kg
1849.00,Lenovo,8GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.9,1.37kg
702.00,Acer,4GB,256GB SSD,Intel Core i3 7130U 2.7GHz,Nvidia GeForce MX130,17.3,3kg
949.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,13.3,1.41kg
445.90,HP,8GB,128GB SSD,AMD A6-Series A6-9220 2.5GHz,AMD Radeon R4 Graphics,15.6,1.91kg
1059.00,HP,16GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,17.3,2.9kg
2499.00,MSI,16GB,512GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,4.14kg
1699.00,Lenovo,8GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050M,15.6,2kg
1142.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,17.3,2.8kg
444.00,Lenovo,4GB,256GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.2kg
722.00,HP,4GB,500GB HDD,Intel Core i5 8250U 1.6GHz,Intel HD Graphics 620,15.6,2.1kg
657.00,Dell,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.18kg
565.00,Dell,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,15.6,2.24kg
799.00,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15.6,2.67kg
1499.00,Asus,8GB,512GB SSD +  512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.1kg
467.00,Lenovo,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.2kg
1018.00,HP,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce 930MX,17.3,2.5kg
880.00,Lenovo,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15.6,2.05kg
1958.90,Apple,8GB,512GB SSD,Intel Core i5 2.9GHz,Intel Iris Graphics 550,13.3,1.37kg
1549.00,Asus,16GB,256GB SSD +  1TB HDD,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,17.3,3.2kg
735.07,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon 520,15.6,2.14kg
2499.00,Lenovo,16GB,512GB SSD,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,14,1.36kg
812.00,Toshiba,8GB,500GB HDD,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,15.6,2.2kg
713.07,Dell,12GB,1TB HDD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,15.6,2.3kg
1099.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,17.3,2.8kg
745.00,Acer,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX130,15.6,2.2kg
489.00,Lenovo,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,17.3,2.8kg
849.00,Lenovo,8GB,2TB HDD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,17.3,2.8kg
859.00,Lenovo,6GB,128GB SSD +  1TB HDD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,17.3,2.8kg
428.00,Dell,4GB,1TB HDD,Intel Core i3 6006U 2.0GHz,AMD Radeon R5 M430,15.6,2.25kg
829.00,Lenovo,8GB,256GB SSD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.5kg
579.00,Lenovo,6GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.2kg
951.00,Acer,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,15.6,3kg
659.00,Acer,12GB,1TB HDD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,15.6,2.15kg
1097.00,Lenovo,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 630,15.6,1.95kg
977.00,Asus,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,15.6,1.7kg
1179.00,Lenovo,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.5kg
659.01,Lenovo,8GB,1TB HDD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,15.6,2.2kg
199.00,Acer,2GB,16GB SSD,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,15.6,2.19kg
1187.00,Asus,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,3kg
489.00,HP,8GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,17.3,2.54kg
1829.00,Dell,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2kg
739.00,Lenovo,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,15.6,2.05kg
1299.00,Lenovo,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,3.2kg
979.00,Acer,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.5kg
2884.86,Dell,16GB,256GB SSD,Intel Core i7 7820HQ 2.9GHz,Nvidia Quadro M1200,17.3,3.42kg
499.00,Lenovo,6GB,1TB HDD,AMD A10-Series 9600P 2.4GHz,AMD Radeon R5 430,15.6,2.4kg
1468.00,Asus,16GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,15.6,1.63kg
509.00,Asus,4GB,128GB SSD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,14,1.3kg
2122.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,2.9kg
649.00,Lenovo,6GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940M,17.3,2.8kg
549.00,Lenovo,8GB,2TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,15.6,2.2kg
1265.00,Asus,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.5kg
359.99,Lenovo,4GB,1TB HDD,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,15.6,2.2kg
1975.00,HP,16GB,256GB SSD,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,13.3,1.28kg
1043.00,Toshiba,8GB,256GB SSD,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,15.6,2.2kg
819.00,Lenovo,8GB,128GB SSD +  1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,15.6,2.3kg
469.00,HP,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.86kg
999.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.3,1.1kg
2499.00,Dell,16GB,1TB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.21kg
2099.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,15.6,2.8kg
469.00,Acer,8GB,256GB SSD,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,15.6,2.23kg
275.00,Asus,2GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,11.6,1.1kg
844.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,15.6,2.33kg
2449.00,HP,16GB,1TB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.29kg
459.90,Lenovo,4GB,16GB Flash Storage,Intel Celeron Dual Core 3855U 1.6GHz,Intel HD Graphics 510,13.3,1.45kg
980.00,HP,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,1.95kg
485.00,Acer,4GB,128GB Flash Storage,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,11.6,1.4kg
1292.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.48kg
589.00,Lenovo,4GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 920MX,17.3,2.79kg
1094.00,Asus,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,2kg
902.00,HP,8GB,1TB HDD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,15.6,2.1kg
659.00,Acer,8GB,256GB SSD,AMD A12-Series 9720P 2.7GHz,AMD Radeon RX 540,15.6,2.2kg
292.00,Lenovo,4GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,14,1.44kg
549.00,Acer,6GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.23kg
1049.90,Asus,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,15.6,1.7kg
1335.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,12.5,1.26kg
2639.00,Dell,32GB,1TB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.06kg
1199.00,MSI,8GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,17.3,2.7kg
943.00,Toshiba,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.0kg
1334.00,Asus,8GB,256GB SSD +  1TB HDD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,2kg
449.00,Lenovo,4GB,1TB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.85kg
999.00,Asus,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.5kg
1268.00,HP,8GB,256GB SSD,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,14,1.48kg
1049.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 940MX,15.6,1.9kg
1144.00,HP,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.84kg
274.99,Asus,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,2kg
1142.75,Dell,8GB,256GB SSD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 940MX,15.6,2kg
274.90,Dell,4GB,500GB HDD,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics,15.6,2.2kg
899.00,Lenovo,12GB,2TB HDD,AMD A12-Series 9720P 3.6GHz,AMD Radeon 530,15.6,2.2kg
716.00,HP,8GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 930MX,15.6,2.1kg
2099.00,Lenovo,16GB,512GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.9,1.4kg
1579.00,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.2kg
1129.00,Lenovo,16GB,256GB SSD +  2TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.4kg
279.00,HP,2GB,32GB Flash Storage,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,14,1.44kg
1607.96,Dell,16GB,512GB SSD +  256GB SSD,Intel Core i7 8650U 1.9GHz,Intel UHD Graphics 620,15.6,1.88kg
375.00,Asus,4GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,11.6,1.5kg
663.00,Dell,8GB,1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,15.6,1.9kg
2027.42,Dell,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.06kg
1304.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,15.6,1.84kg
1409.00,MSI,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,17.3,2.7kg
1738.27,HP,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,15.6,2.6kg
1403.00,Toshiba,16GB,512GB SSD,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,15.6,2.4kg
970.90,Dell,8GB,128GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,15.6,2.02kg
321.99,Lenovo,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,2.2kg
999.00,Dell,8GB,1TB HDD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.65kg
557.37,Dell,8GB,2TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.36kg
1427.00,Dell,8GB,256GB SSD,Intel Core i5 7300U 2.6GHz,Intel HD Graphics 620,14,1.36kg
439.00,HP,4GB,500GB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.86kg
945.00,Asus,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,2kg
719.00,Lenovo,6GB,128GB SSD +  1TB HDD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 940MX,17.3,2.8kg
639.00,HP,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,1.86kg
499.00,Lenovo,8GB,256GB SSD,Intel Core i3 6006U 2GHz,Nvidia GeForce 920MX,15.6,2.2kg
389.00,HP,8GB,2TB HDD,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,15.6,2.04kg
1085.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,17.3,2.8kg
809.00,Lenovo,8GB,128GB SSD +  1TB HDD,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,15.6,2.4kg
899.00,Dell,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,15.6,2.33kg
1750.00,HP,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.36kg
1099.00,Asus,12GB,512GB SSD +  2TB HDD,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GT 940MX,15.6,2.26kg
426.00,Acer,4GB,128GB SSD,AMD A9-Series 9420 3GHz,AMD Radeon R5,15.6,2.1kg
2199.00,Asus,16GB,256GB SSD +  1TB HDD,AMD Ryzen 1700 3GHz,AMD Radeon RX 580,17.3,3.25kg
489.00,Lenovo,4GB,128GB SSD,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,17.3,2.6kg
869.01,Dell,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,13.3,1.62kg
488.99,HP,4GB,256GB SSD,AMD A9-Series 9420 3GHz,AMD Radeon R5,15.6,1.91kg
553.00,Lenovo,4GB,128GB SSD,Intel Celeron Quad Core N3450 1.1GHz,Intel HD Graphics 500,11.6,1.59kg
309.00,Dell,4GB,500GB HDD,Intel Celeron Dual Core N3060 1.60GHz,Intel HD Graphics 400,15.6,1.8kg
286.00,Asus,4GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,14,1.5kg
846.00,Acer,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.4kg
1191.00,HP,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,3.35kg
403.50,Lenovo,4GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,1.85kg
1655.00,Asus,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,15.6,2.3kg
1099.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,14,1.5kg
1748.90,Asus,16GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13.3,1.1kg
2282.00,Lenovo,8GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.13kg
549.00,Lenovo,4GB,128GB SSD,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,13.3,1.5kg
1369.00,Dell,8GB,500GB HDD,Intel Core i5 6440HQ 2.6GHz,AMD FirePro W5130M,15.6,2.23kg
2135.00,Dell,8GB,256GB SSD,Intel Core i7 6820HQ 2.7GHz,Nvidia Quadro M1200,15.6,2kg
2509.00,Lenovo,16GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.42kg
1039.00,Asus,8GB,1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,3kg
1591.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,17.3,3kg
693.99,Acer,12GB,1TB HDD,Intel Core i5 8250U 1.6GHz,Nvidia GeForce MX130,15.6,2.2kg
1349.00,MSI,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,17.3,2.7kg
778.87,Dell,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,15.6,2.33kg
499.00,HP,4GB,256GB SSD,AMD A9-Series 9420 3GHz,AMD Radeon 520,15.6,1.91kg
1229.56,Lenovo,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon RX 550,15.6,2.1kg
938.00,Lenovo,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,14,1.9kg
2712.00,Dell,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,15.6,1.78kg
2625.00,Lenovo,16GB,1TB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.13kg
306.00,Lenovo,4GB,1TB HDD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,15.6,2.2kg
1529.00,Asus,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,17.3,2.9kg
1144.50,Lenovo,8GB,256GB SSD +  1TB HDD,Intel Core i5 8250U 1.6GHz,AMD Radeon RX 550,15.6,2.1kg
879.00,Acer,8GB,256GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2.5kg
2249.00,MSI,16GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,2.8kg
1873.00,Asus,8GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.10kg
1747.00,Toshiba,16GB,512GB SSD,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,13.3,1.2kg
1680.00,Dell,8GB,512GB SSD,Intel Core i7 7600U 2.8GHz,Intel HD Graphics,14,1.36kg
409.00,Lenovo,4GB,500GB HDD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,15.6,2.2kg
304.45,Lenovo,2GB,32GB Flash Storage,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,11.6,1.15kg
1925.00,Lenovo,8GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia Quadro M1200,15.6,2.67kg
1943.00,Lenovo,8GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GT 940MX,14,1.7kg
469.00,HP,4GB,1TB HDD,Intel Core i3 6006U 2GHz,AMD Radeon 520,15.6,2.1kg
789.01,Acer,8GB,256GB SSD,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,13.3,1.6kg
928.00,Asus,8GB,256GB SSD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,13.3,1.27kg
598.90,Dell,4GB,256GB SSD,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,15.6,2.3kg
689.00,Dell,4GB,128GB SSD,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,13.3,1.65kg
1500.00,HP,8GB,256GB SSD,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,14,1.43kg
539.95,Dell,8GB,1TB HDD,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,15.6,2.14kg
1215.38,Lenovo,8GB,256GB SSD,Intel Core i7 8550U 1.8GHz,AMD Radeon RX 550,14,1.75kg
1899.00,Lenovo,16GB,512GB SSD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,15.6,2kg
449.00,Chuwi,6GB,64GB Flash Storage,Intel Celeron Quad Core N3450 1.1GHz,Intel HD Graphics 500,12.3,1.4kg
1427.00,HP,8GB,256GB SSD,Intel Core i7 7820HQ 2.9GHz,Intel HD Graphics 630,15.6,2.31kg
597.00,Asus,8GB,1TB HDD,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 940MX,15.6,2.3kg
2799.00,Dell,16GB,256GB SSD +  1TB HDD,Intel Core i7 7820HK 2.9GHz,Nvidia GeForce GTX 1070,17.3,4.42kg
1159.00,Dell,8GB,128GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,15.6,2.62kg
1142.40,Dell,8GB,256GB SSD +  2TB HDD,Intel Core i7 8550U 1.8GHz,AMD Radeon 530,15.6,2.02kg
1099.00,Dell,8GB,256GB SSD,Intel Core i7 7600U 2.8GHz,Intel HD Graphics 620,14,1.6kg
1999.00,HP,12GB,256GB SSD +  1TB HDD,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,17.3,3.35kg
299.00,Mediacom,4GB,32GB SSD,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,11.6,1.16kg
269.00,Samsung,4GB,16GB Flash Storage,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,11.6,1.15kg
1010.00,Lenovo,8GB,256GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,13.3,1.4kg
599.00,Lenovo,4GB,128GB SSD,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,14,1.7kg
2445.00,Lenovo,16GB,512GB SSD,Intel Core i7 7600U 2.8GHz,Nvidia GeForce 940MX,15.6,2.3kg
2449.00,Lenovo,16GB,512GB SSD,Intel Core i7 7820HQ 2.9GHz,Nvidia Quadro M2200M,15.6,2.5kg
1695.00,Asus,8GB,256GB SSD +  1TB HDD,AMD Ryzen 1600 3.2GHz,AMD Radeon RX 580,17.3,3.2kg
347.00,HP,4GB,500GB HDD,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,15.6,2.1kg
2199.00,Google,16GB,512GB SSD,Intel Core i7 7Y75 1.3GHz,Intel HD Graphics 615,12.3,1.1kg
2382.00,Lenovo,24GB,512GB SSD,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,14,1.32kg
